month,region,channel,leads,signups,active_customers,churn_rate_pct,mrr_usd,cac_usd,nps,support_tickets
2025-01,North,Organic,4200,690,5100,3.4,128000,71,41,620
2025-01,South,Paid,3100,410,3500,4.8,86000,118,35,540
2025-02,North,Organic,4500,760,5360,3.1,136500,69,43,590
2025-02,South,Paid,3300,455,3690,4.5,91200,114,36,520
2025-03,North,Organic,4780,810,5620,2.9,145900,66,45,560
2025-03,South,Paid,3490,490,3880,4.2,96800,109,37,505
2025-04,North,Organic,5010,860,5890,2.7,154700,64,46,530
2025-04,South,Paid,3650,520,4060,3.9,101600,105,38,490
2025-05,North,Organic,5300,920,6200,2.5,165800,61,48,500
2025-05,South,Paid,3890,560,4290,3.6,108900,101,39,470
2025-06,North,Organic,5580,980,6510,2.3,176900,59,49,455
2025-06,South,Paid,4120,610,4550,3.3,117200,97,40,440
